pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
MM,WW,M,M,W,W,7,1999,11,2.3978952727983707,0.44,-0.8209805520698302,Immunology; Infectious Diseases,107,Immunology,usa,1,44195
MM,WW,M,M,W,W,7,1999,7,1.9459101490553132,0.28,-1.272965675812887,Immunology; Infectious Diseases,73,Immunology,czechia,1,88290
MM,WN,M,M,W,N,7,1999,61,4.110873864173311,2.44,0.8919980393051105,Immunology; Infectious Diseases,19,Immunology,usa,1,43477
MM,WW,M,M,W,W,3,1999,19,2.9444389791664403,0.76,-0.2744368457017603,Ecology,32,Ecology,united kingdom (great britain),1,19438
MM,WW,M,M,W,W,19,1999,7,1.9459101490553132,0.28,-1.272965675812887,"Physics, Multidisciplinary",457,"Physics, Multidisciplinary",usa,1,34202
MM,WW,M,M,W,W,50,1999,15,2.70805020110221,0.6,-0.5108256237659907,Multidisciplinary Sciences,77,Multidisciplinary Sciences,united kingdom (great britain),1,61835
MM,WW,M,M,W,W,1,1999,6,1.791759469228055,0.24,-1.4271163556401458,Fisheries; Limnology; Marine & Freshwater Biology; Oceanography,185,Fisheries,australia,1,119222
MM,NN,M,M,N,N,98,1999,16,2.772588722239781,0.64,-0.4462871026284195,"Medicine, General & Internal",20,"Medicine, General & Internal",usa,1,20166
MM,WW,M,M,W,W,9,1999,15,2.70805020110221,0.6,-0.5108256237659907,Multidisciplinary Sciences,36,Multidisciplinary Sciences,usa,1,24169
MM,WW,M,M,W,W,44,1999,35,3.5553480614894135,1.4,0.3364722366212129,Multidisciplinary Sciences,8,Multidisciplinary Sciences,usa,1,48470
MM,WW,M,M,W,W,50,1999,11,2.3978952727983707,0.44,-0.8209805520698302,Multidisciplinary Sciences,34,Multidisciplinary Sciences,usa,1,33344
MM,WW,M,M,W,W,3,1999,23,3.1354942159291497,0.92,-0.08338160893905101,Ecology; Zoology,57,Ecology,usa,1,15994
MM,WW,M,M,W,W,44,1999,6,1.791759469228055,0.24,-1.4271163556401458,Multidisciplinary Sciences,19,Multidisciplinary Sciences,usa,1,24167
MM,WW,M,M,W,W,44,1999,25,3.218875824868201,1,0,Multidisciplinary Sciences,21,Multidisciplinary Sciences,usa,1,24168
MM,WW,M,M,W,W,2,1999,7,1.9459101490553132,0.28,-1.272965675812887,Veterinary Sciences,50,Veterinary Sciences,netherlands,1,37525
WM,WW,W,M,W,W,2,1999,12,2.4849066497880004,0.48,-0.7339691750802004,Veterinary Sciences,17,Veterinary Sciences,netherlands,1,79798
MM,WW,M,M,W,W,0,1999,18,2.8903717578961645,0.72,-0.3285040669720361,Ornithology,46,Ornithology,usa,1,105764
WM,WW,W,M,W,W,2,1999,14,2.6390573296152584,0.56,-0.579818495252942,Agricultural Economics & Policy; Economics,32,Agricultural Economics & Policy,new zealand,1,15992
WM,WW,W,M,W,W,4,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Virology,52,Virology,usa,1,135072
WW,WW,W,W,W,W,2,1999,13,2.5649493574615367,0.52,-0.6539264674066639,Virology,54,Virology,russia,1,77876
WM,WW,W,M,W,W,1,1999,11,2.3978952727983707,0.44,-0.8209805520698302,Ecology; Evolutionary Biology; Genetics & Heredity; Mathematical & Computational Biology,20,Ecology,united kingdom (great britain),1,35771
WM,WW,W,M,W,W,16,2000,8,2.0794415416798357,0.3333333333333333,-1.0986122886681098,Biochemistry & Molecular Biology,36,Biochemistry & Molecular Biology,usa,1,49438
MM,WW,M,M,W,W,50,2000,9,2.1972245773362196,0.375,-0.9808292530117262,Multidisciplinary Sciences,20,Multidisciplinary Sciences,usa,1,16779
MM,WW,M,M,W,W,44,2000,221,5.3981627015177525,9.208333333333334,2.220108871169807,Multidisciplinary Sciences,140,Multidisciplinary Sciences,usa,1,15984
